Team,Player,Pos,Ht,Wt,Birth Date,Country,Exp,College
Portland Trail Blazers,Derrick Jones Jr.,F,6-6,210,February 15 1997,us,4,UNLV
Portland Trail Blazers,Robert Covington,F-C,6-7,209,December 14 1990,us,7,Tennessee State
Portland Trail Blazers,Rodney Hood,G-F,6-8,208,October 20 1992,us,6,Mississippi State Duke
Portland Trail Blazers,Anfernee Simons,G,6-3,181,June 8 1999,us,2,
Portland Trail Blazers,Harry Giles,F-C,6-11,240,April 22 1998,us,2,Duke
Portland Trail Blazers,Jusuf Nurkić,C,7-0,290,August 23 1994,ba,6,
Utah Jazz,Derrick Favors,F-C,6-9,265,July 15 1991,us,10,Georgia Tech
Utah Jazz,Bojan Bogdanović,G-F,6-8,226,April 18 1989,ba,6,
Utah Jazz,Rudy Gobert,C,7-1,258,June 26 1992,fr,7,
Utah Jazz,Jarrell Brantley  (TW),F,6-5,250,June 7 1996,us,1,College of Charleston
Utah Jazz,Royce O'Neale,F,6-4,226,June 5 1993,us,3,Denver Baylor
Utah Jazz,Mike Conley,G,6-1,175,October 11 1987,us,13,Ohio State
Utah Jazz,Shaquille Harrison,G,6-7,190,October 6 1993,us,3,Tulsa
Utah Jazz,Trent Forrest  (TW),G,6-4,210,June 12 1998,us,R,Florida State
Utah Jazz,Donovan Mitchell,G,6-1,215,September 7 1996,us,3,Louisville
Utah Jazz,Jordan Clarkson,G,6-4,194,June 7 1992,us,6,Tulsa Missouri
Utah Jazz,Joe Ingles,F-G,6-7,220,October 2 1987,au,6,
Utah Jazz,Udoka Azubuike,C,7-0,270,September 17 1999,ng,R,Kansas
Utah Jazz,Georges Niang,F,6-7,230,June 17 1993,us,4,Iowa State
Utah Jazz,Elijah Hughes,F,6-6,215,March 10 1998,us,R,Syracuse East Carolina University
Utah Jazz,Miye Oni,G,6-5,206,August 4 1997,us,1,Yale
Los Angeles Lakers,Jared Dudley,F-G,6-6,237,July 10 1985,us,13,Boston College
Los Angeles Lakers,Wesley Matthews,G,6-4,220,October 14 1986,us,11,Marquette
Los Angeles Lakers,Dennis Schröder,G,6-1,172,September 15 1993,de,7,
Los Angeles Lakers,Anthony Davis,F-C,6-10,253,March 11 1993,us,8,Kentucky
Los Angeles Lakers,Montrezl Harrell,F-C,6-7,240,January 26 1994,us,5,Louisville
Los Angeles Lakers,Kyle Kuzma,F,6-8,221,July 24 1995,us,3,Utah
Los Angeles Lakers,Quinn Cook,G,6-1,180,March 23 1993,us,4,Duke
Los Angeles Lakers,Markieff Morris,F,6-8,245,September 2 1989,us,9,Kansas
Los Angeles Lakers,LeBron James,F-G,6-9,250,December 30 1984,us,17,
Los Angeles Lakers,Kentavious Caldwell-Pope,G,6-5,204,February 18 1993,us,7,Georgia
Los Angeles Lakers,Talen Horton-Tucker,G-F,6-4,234,November 25 2000,us,1,Iowa State
Los Angeles Lakers,Marc Gasol,C,6-11,255,January 29 1985,es,12,
Los Angeles Lakers,Alex Caruso,G,6-5,186,February 28 1994,us,3,Texas A&M
Los Angeles Lakers,Kostas Antetokounmpo  (TW),F,6-10,200,November 20 1997,gr,2,Dayton
Los Angeles Lakers,Alfonzo McKinnie,F,6-7,215,September 17 1992,us,3,Green Bay
Los Angeles Clippers,Daniel Oturu,F-C,6-10,240,September 20 1999,us,R,Minnesota
Los Angeles Clippers,Ivica Zubac,C,7-0,240,March 18 1997,ba,4,
Los Angeles Clippers,Luke Kennard,G,6-5,206,June 24 1996,us,3,Duke
Los Angeles Clippers,Nicolas Batum,F-G,6-9,230,December 14 1988,fr,12,
Los Angeles Clippers,Patrick Beverley,G,6-1,180,July 12 1988,us,8,Arkansas
Los Angeles Clippers,Lou Williams,G,6-1,175,October 27 1986,us,15,
Los Angeles Clippers,Jay Scrubb  (TW),G-F,6-6,210,September 1 2000,us,R,John A. Logan College
Los Angeles Clippers,Paul George,F,6-8,220,May 2 1990,us,10,Fresno State
Los Angeles Clippers,Marcus Morris,F,6-8,218,September 2 1989,us,9,Kansas
Los Angeles Clippers,Mfiondu Kabengele,F,6-9,250,August 14 1997,ca,1,Florida State
Los Angeles Clippers,Patrick Patterson,F,6-8,235,March 14 1989,us,10,Kentucky
Los Angeles Clippers,Terance Mann,G-F,6-5,215,October 18 1996,us,1,Florida State
Los Angeles Clippers,Serge Ibaka,F-C,7-0,235,September 18 1989,cg,11,
Los Angeles Clippers,Kawhi Leonard,F,6-7,225,June 29 1991,us,9,San Diego State
Golden State Warriors,Brad Wanamaker,G,6-3,210,July 25 1989,us,2,Pitt
Golden State Warriors,Kevon Looney,F-C,6-9,222,February 6 1996,us,5,UCLA
Golden State Warriors,Stephen Curry,G,6-3,185,March 14 1988,us,11,Davidson
Golden State Warriors,Kent Bazemore,G-F,6-4,195,July 1 1989,us,8,Old Dominion
Golden State Warriors,Kelly Oubre Jr.,F,6-7,203,December 9 1995,us,5,Kansas
Golden State Warriors,Andrew Wiggins,F-G,6-7,197,February 23 1995,ca,6,Kansas
Golden State Warriors,Nico Mannion  (TW),G,6-3,190,March 14 2001,it,R,Arizona
Golden State Warriors,Draymond Green,F,6-6,230,March 4 1990,us,8,Michigan State
Golden State Warriors,Jordan Poole,G,6-4,194,June 19 1999,us,1,Michigan
Golden State Warriors,James Wiseman,C,7-1,240,March 31 2001,us,R,Memphis
Golden State Warriors,Damion Lee,G,6-5,210,October 21 1992,us,3,Drexel Louisville
Golden State Warriors,Eric Paschall,F,6-6,255,November 4 1996,us,1,Fordham Villanova
Golden State Warriors,Marquese Chriss,F,6-9,240,July 2 1997,us,4,Washington
Golden State Warriors,Alen Smailagić,F,6-10,215,August 18 2000,rs,1,
Golden State Warriors,Mychal Mulder,G-F,6-4,184,June 12 1994,ca,1,Vincennes Kentucky
Golden State Warriors,Klay Thompson,G-F,6-6,215,February 8 1990,us,8,Washington State
Phoenix Suns,Damian Jones,F-C,6-11,245,June 30 1995,us,4,Vanderbilt
Phoenix Suns,Cameron Payne,G,6-3,190,August 8 1994,us,5,Murray State
Phoenix Suns,Abdel Nader,F,6-5,225,September 25 1993,eg,3,Northern Illinois Iowa State
Phoenix Suns,E'Twaun Moore,G-F,6-3,191,February 25 1989,us,9,Purdue
Phoenix Suns,Jevon Carter,G,6-1,200,September 14 1995,us,2,West Virginia
Phoenix Suns,Deandre Ayton,C,6-11,250,July 23 1998,bs,2,Arizona
Phoenix Suns,Dario Šarić,F,6-10,225,April 8 1994,hr,4,
Phoenix Suns,Ty-Shon Alexander  (TW),G,6-4,195,July 16 1998,us,R,Creighton
Phoenix Suns,Mikal Bridges,G,6-6,209,August 30 1996,us,2,Villanova
Phoenix Suns,Jalen Smith,F,6-10,225,March 16 2000,us,R,Maryland
Phoenix Suns,Chris Paul,G,6-1,175,May 6 1985,us,15,Wake Forest
Phoenix Suns,Jae Crowder,F,6-6,235,July 6 1990,us,8,Marquette
Phoenix Suns,Devin Booker,G,6-5,206,October 30 1996,us,5,Kentucky
Phoenix Suns,Langston Galloway,G,6-1,200,December 9 1991,us,6,Saint Joseph's
Phoenix Suns,Cameron Johnson,F,6-8,210,March 3 1996,us,1,Pitt UNC
Sacramento Kings,Robert Woodard,F,6-7,235,September 22 1999,us,R,Mississippi State
Sacramento Kings,Richaun Holmes,F-C,6-10,235,October 15 1993,us,5,Bowling Green
Sacramento Kings,Marvin Bagley III,F,6-11,235,March 14 1999,us,2,Duke
Sacramento Kings,Glenn Robinson III,G-F,6-6,222,January 8 1994,us,6,Michigan
Sacramento Kings,Buddy Hield,G,6-4,220,December 17 1992,bs,4,Oklahoma
Sacramento Kings,Nemanja Bjelica,F,6-10,234,May 9 1988,rs,5,
Sacramento Kings,Jahmi'us Ramsey,G,6-4,195,June 9 2001,us,R,Texas Tech
Sacramento Kings,De'Aaron Fox,G,6-3,185,December 20 1997,us,3,Kentucky
Sacramento Kings,Justin James,G,6-7,190,January 24 1997,us,1,Wyoming
Sacramento Kings,Tyrese Haliburton,G,6-5,175,February 29 2000,us,R,Iowa State
Sacramento Kings,Cory Joseph,G,6-3,200,August 20 1991,ca,9,Texas
Sacramento Kings,Hassan Whiteside,C,7-0,265,June 13 1989,us,8,Marshall
Sacramento Kings,Harrison Barnes,F,6-8,225,May 30 1992,us,8,UNC
Sacramento Kings,DaQuan Jeffries,G-F,6-5,230,August 30 1997,us,1,Oral Roberts Tulsa
Sacramento Kings,Jabari Parker,F,6-8,245,March 15 1995,us,6,Duke
Memphis Grizzlies,Jontay Porter,F-C,6-11,240,November 15 1999,us,R,Missouri
Memphis Grizzlies,Brandon Clarke,F,6-8,215,September 19 1996,ca,1,San Jose State Gonzaga
Memphis Grizzlies,Gorgui Dieng,C,6-10,252,January 18 1990,sn,7,Louisville
Memphis Grizzlies,De'Anthony Melton,G,6-2,200,May 28 1998,us,2,USC
Memphis Grizzlies,Tyus Jones,G,6-0,196,May 10 1996,us,5,Duke
Memphis Grizzlies,Jaren Jackson Jr.,F,6-11,242,September 15 1999,us,2,Michigan State
Memphis Grizzlies,John Konchar,G,6-5,210,March 22 1996,us,1,Purdue-Fort Wayne
Memphis Grizzlies,Jonas Valančiūnas,C,6-11,265,May 6 1992,lt,8,
Memphis Grizzlies,Grayson Allen,G,6-4,198,October 8 1995,us,2,Duke
Memphis Grizzlies,Desmond Bane,G,6-6,215,June 25 1998,us,R,TCU
Memphis Grizzlies,Dillon Brooks,F-G,6-7,225,January 22 1996,ca,3,Oregon
Memphis Grizzlies,Kyle Anderson,F-G,6-9,230,September 20 1993,us,6,UCLA
Memphis Grizzlies,Xavier Tillman Sr.,F,6-8,245,January 12 1999,us,R,Michigan State
Memphis Grizzlies,Sean McDermott  (TW),F,6-6,195,November 3 1996,us,R,Butler
Memphis Grizzlies,Justise Winslow,F,6-6,222,March 26 1996,us,5,Duke
Memphis Grizzlies,Killian Tillie  (TW),F,6-10,220,March 5 1998,fr,R,Gonzaga
Memphis Grizzlies,Ja Morant,G,6-3,174,August 10 1999,us,1,Murray State
New Orleans Pelicans,Wenyen Gabriel,F,6-9,200,March 26 1997,sd,1,Kentucky
New Orleans Pelicans,Nickeil Alexander-Walker,G,6-5,205,September 2 1998,ca,1,Virginia Tech
New Orleans Pelicans,Steven Adams,C,6-11,265,July 20 1993,nz,7,Pitt
New Orleans Pelicans,Sindarius Thornwell,G,6-5,215,November 15 1994,us,3,South Carolina
New Orleans Pelicans,J.J. Redick,G,6-3,200,June 24 1984,us,14,Duke
New Orleans Pelicans,Lonzo Ball,G,6-6,190,October 27 1997,us,3,UCLA
New Orleans Pelicans,Will Magnay  (TW),C,6-10,234,June 10 1998,au,R,Tulsa
New Orleans Pelicans,Nicolò Melli,F,6-9,236,January 26 1991,it,1,
New Orleans Pelicans,Josh Hart,G,6-5,215,March 6 1995,us,3,Villanova
New Orleans Pelicans,Naji Marshall  (TW),F,6-7,220,January 24 1998,us,R,Xavier
New Orleans Pelicans,Eric Bledsoe,G,6-1,214,December 9 1989,us,10,Kentucky
New Orleans Pelicans,Willy Hernangómez,C,6-11,250,May 27 1994,es,4,
New Orleans Pelicans,Zion Williamson,F-C,6-6,284,July 6 2000,us,1,Duke
New Orleans Pelicans,Kira Lewis Jr.,G,6-3,165,April 6 2001,us,R,Alabama
New Orleans Pelicans,Jaxson Hayes,F,6-11,220,May 23 2000,us,1,Texas
Houston Rockets,Jae'Sean Tate,F,6-4,230,October 28 1995,us,R,Ohio State
Houston Rockets,Chris Clemons,G,5-9,180,July 23 1997,us,1,Campbell
Houston Rockets,P.J. Tucker,F,6-5,245,May 5 1985,us,9,Texas
Houston Rockets,Brodric Thomas  (TW),G,6-5,185,January 28 1997,us,R,Truman State University
Houston Rockets,David Nwaba,G,6-5,219,January 14 1993,us,4,Cal Poly
Houston Rockets,James Harden,G,6-5,220,August 26 1989,us,11,Arizona State
Houston Rockets,Kenyon Martin Jr.,F,6-6,215,January 6 2001,us,R,
Houston Rockets,Mason Jones  (TW),G,6-5,200,July 21 1998,us,R,Connors State College Arkansas
Houston Rockets,John Wall,G,6-4,210,September 6 1990,us,9,Kentucky
Houston Rockets,DeMarcus Cousins,C-F,6-10,270,August 13 1990,us,9,Kentucky
Houston Rockets,Christian Wood,F,6-10,214,September 27 1995,us,4,UNLV
Houston Rockets,Danuel House,G,6-6,220,June 7 1993,us,4,Texas A&M
Houston Rockets,Sterling Brown,G,6-5,219,February 10 1995,us,3,SMU
Houston Rockets,Ben McLemore,G,6-3,195,February 11 1993,us,7,Kansas
Houston Rockets,Bruno Caboclo,F-C,6-9,218,September 21 1995,br,6,
Houston Rockets,Eric Gordon,G-F,6-3,215,December 25 1988,us,12,Indiana
San Antonio Spurs,Tre Jones,G,6-3,185,January 8 2000,us,R,Duke
San Antonio Spurs,Keldon Johnson,G,6-5,220,October 11 1999,us,1,Kentucky
San Antonio Spurs,DeMar DeRozan,G-F,6-6,220,August 7 1989,us,11,USC
San Antonio Spurs,Devin Vassell,G,6-7,194,August 23 2000,us,R,Florida State
San Antonio Spurs,Rudy Gay,F,6-8,250,August 17 1986,us,14,UConn
San Antonio Spurs,Derrick White,G,6-4,190,July 2 1994,us,3,Colorado-Colorado Springs Colorado
San Antonio Spurs,Keita Bates-Diop  (TW),F,6-8,229,January 23 1996,us,2,Ohio State
San Antonio Spurs,Trey Lyles,F,6-9,234,November 5 1995,ca,5,Kentucky
San Antonio Spurs,Patty Mills,G,6-1,180,August 11 1988,au,11,Saint Mary's
San Antonio Spurs,Dejounte Murray,G,6-4,180,September 19 1996,us,3,Washington
San Antonio Spurs,LaMarcus Aldridge,F-C,6-11,250,July 19 1985,us,14,Texas
San Antonio Spurs,Drew Eubanks,F,6-9,245,February 1 1997,us,2,Oregon State
San Antonio Spurs,Lonnie Walker,G,6-5,204,December 14 1998,us,2,Miami (FL)
San Antonio Spurs,Jakob Poeltl,C,7-1,245,October 15 1995,at,4,Utah
San Antonio Spurs,Luka Šamanić,F,6-10,227,January 9 2000,hr,1,
Dallas Mavericks,Josh Green,G-F,6-6,210,November 16 2000,au,R,Arizona
Dallas Mavericks,Maxi Kleber,F,6-10,240,January 29 1992,de,3,
Dallas Mavericks,Tim Hardaway Jr.,G,6-5,205,March 16 1992,us,7,Michigan
Dallas Mavericks,Trey Burke,G,6-0,185,November 12 1992,us,7,Michigan
Dallas Mavericks,Dorian Finney-Smith,F,6-7,220,May 4 1993,us,4,Florida
Dallas Mavericks,James Johnson,F,6-7,240,February 20 1987,us,11,Wake Forest
Dallas Mavericks,Willie Cauley-Stein,F-C,7-0,240,August 18 1993,us,5,Kentucky
Dallas Mavericks,Kristaps Porziņģis,F-C,7-3,240,August 2 1995,lv,4,
Dallas Mavericks,Josh Richardson,G,6-5,200,September 15 1993,us,5,Tennessee
Dallas Mavericks,Wesley Iwundu,F,6-6,195,December 20 1994,us,3,Kansas State
Dallas Mavericks,Boban Marjanović,C,7-4,290,August 15 1988,rs,5,
Dallas Mavericks,Luka Dončić,G-F,6-7,230,February 28 1999,si,2,
Dallas Mavericks,Tyrell Terry,G,6-2,160,September 28 2000,us,R,Stanford
Dallas Mavericks,Nate Hinton  (TW),G,6-5,210,June 8 1999,us,R,Houston
Dallas Mavericks,Jalen Brunson,G,6-1,190,August 31 1996,us,2,Villanova
Dallas Mavericks,Tyler Bey  (TW),F,6-7,216,February 10 1998,us,R,Colorado
Dallas Mavericks,Dwight Powell,F-C,6-10,240,July 20 1991,ca,6,Stanford
